index "Nodes station" stations
0 176 Madeleine
1 281 Pyramides
2 282 Pyramides
3 228 "Palais Royal, Musée du Louvre"
4 255 Pont-Neuf
5 71 Châtelet
6 254 Pont-Marie
7 345 "Sully Morland"
8 149 Jussieu
9 241 "Place Monge"
10 49 "Censier Daubenton"
11 164 "Les Gobelins"
12 244 "Place d'Italie"
13 352 Tolbiac
14 184 "Maison Blanche"
15 260 "Porte d'Italie"
16 266 "Porte de Choisy"
17 261 "Porte d'Ivry"
18 237 "Pierre Curie"
19 179 "Mairie d'Ivry"
20 237 "Pierre Curie"
21 179 "Mairie d'Ivry"
22 237 "Pierre Curie"
23 261 "Porte d'Ivry"
24 266 "Porte de Choisy"
25 260 "Porte d'Italie"
26 184 "Maison Blanche"
27 161 "Le Kremlin-Bicêtre"
28 364 "Villejuif, Léo Lagrange"
29 365 "Villejuif, P. Vaillant Couturier"
30 363 "Villejuif, Louis Aragon"
31 365 "Villejuif, P. Vaillant Couturier"
32 363 "Villejuif, Louis Aragon"
33 365 "Villejuif, P. Vaillant Couturier"
34 364 "Villejuif, Léo Lagrange"
35 161 "Le Kremlin-Bicêtre"
36 364 "Villejuif, Léo Lagrange"
37 161 "Le Kremlin-Bicêtre"
38 184 "Maison Blanche"
39 352 Tolbiac
40 244 "Place d'Italie"
41 242 "Place d'Italie"
42 46 Campo-Formio
43 329 Saint-Marcel
44 118 "Gare d'Austerlitz"
45 288 "Quai de la Rapée"
46 17 Bastille
47 40 Bréguet-Sabin
48 297 "Richard Lenoir"
49 219 Oberkampf
50 313 République
51 140 "Jacques Bonsergent"
52 122 "Gare de l'Est"
53 125 "Gare du Nord"
54 340 Stalingrad
55 143 Jaurès
56 160 Laumière
57 226 Ourcq
58 270 "Porte de Pantin"
59 134 Hoche
60 374 "Église de Pantin"
61 29 "Bobigny-Pantin, Raymond Queneau"
62 28 "Bobigny, Pablo Picasso"
63 29 "Bobigny-Pantin, Raymond Queneau"
64 374 "Église de Pantin"
65 134 Hoche
66 270 "Porte de Pantin"
67 226 Ourcq
68 160 Laumière
